price_15;price_25;Marcas;Crystal (Linha);Sim;Tizen;Amazon Prime Video;Globoplay;Netflix;Youtube;Acesso Internet;Assistente Pessoal;Controle com Comando de Voz;Grava Programacao;HDR;Conversor Digital Integrado e Interativo (DTVi);LED;Tamanho da Tela;4K;Frequencia_Nativa;Bluetooth;Tecnologia DLNA;Wi-Fi integrado;Espelhamento de Tela;HDMI;LAN (Rede);USB;3 HDMI;Altura com base;Altura sem base;Largura;Profundidade com base;Profundidade sem base;ThinQ AI (Linha);WebOS;Conversor Digital Integrado;Facebook;OLED;Design da Tela;4 HDMI;Linha;Android;Controle por Smartphone;Android TV (Linha);Controle com Função Mouse;Função Estádio;Nano Cristal;IPS (In Plane Switching);2 HDMI;Picture in Picture(PiP);QLED;Frequência Máxima;ConnectShare;Slim;Saphi;Disney Plus;Tela Plana;Neo QLED;Roku;Sistema Operacional;The Frame (Linha);One Connect;PC;Série 6600 (Linha);VA (Vertically Aligned);Suporte para Controle por Movimento;Q80 (Linha);HDMI 2,1;HDMI 2,0;Série 6 (Linha);Ultra Slim;The Sero (Linha);Linux;Cartão de Memória;Vidaa;Fone de Ouvido P2;The Serif (Linha);NFC;Full HD;HD;Suporte para Wi-Fi;8K;LCD;Super Slim;Spotify;Série 5100 (Linha);Potência (RMS);Série 3000 (Linha);Smart TV;1 HDMI;Resolução de Imagem;Aquos (Linha)
3654,49;3415,99;LG (Marca);0;1;0;1;0;1;0;1;1;0;0;1;0;1;60;1;60;1;0;1;1;1;0;1;1;85,2;78,3;135,6;26,9;5,75;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4132,02;3899;LG (Marca);0;1;0;1;0;1;1;1;0;0;0;0;0;1;65;1;60;1;0;1;0;1;0;1;0;91;85;146,3;25,5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4215,27;3898;LG (Marca);0;1;0;1;0;1;1;0;0;0;0;0;0;1;65;1;60;1;0;1;0;1;0;1;1;0;83,8;145,4;0;5,75;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;4599,9;LG (Marca);0;1;0;1;0;1;0;1;1;1;0;1;0;1;65;1;60;1;0;1;0;1;0;1;1;91,3;84;146,8;25,5;8,9;1;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4749;;LG (Marca);0;1;0;1;0;1;1;1;1;1;0;1;0;1;65;1;60;1;0;1;1;1;0;1;1;91,4;85;146,3;26,9;8,7;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5536,25;;LG (Marca);0;1;0;1;0;1;1;1;1;0;0;1;0;1;65;1;60;1;0;1;1;1;1;1;1;0;0;146;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5016,52;4649;LG (Marca);0;1;0;1;0;1;0;1;1;1;0;1;0;1;70;1;60;1;0;1;1;1;0;1;1;97,1;90,7;156,2;36,2;5,99;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7119,02;;LG (Marca);0;1;0;1;1;1;1;0;1;0;0;0;0;1;75;1;60;1;0;1;0;1;1;1;0;103,7;97,8;169,3;33,3;8,9;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2796,25;2872,5;LG (Marca);0;1;0;0;0;0;0;1;1;1;0;1;0;0;50;1;60;1;0;1;1;1;0;1;1;70,8;65,1;112,1;23,2;5,77;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4227,76;3699,99;LG (Marca);0;1;0;1;1;1;1;0;0;0;0;0;0;0;55;1;120;1;0;1;1;1;0;1;0;78,1;71,6;123,3;15,1;4,42;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3784,49;3340,64;LG (Marca);0;1;0;1;0;1;0;1;1;1;0;1;0;0;55;1;60;1;0;1;1;1;0;1;1;0;0;123,5;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
